"id","so_no","so_line","request_date","due_date","prd_name","prd_series","qty_bal","update_datetime"
265284109,"2SE02853",6,"2024-03-29 00:00:00","2024-04-25 00:00:00",RGPZ-303ML-0F,RGP,56400,2024-04-25 13:46:03.784
255237818,"2SE90682",5,"2024-03-31 00:00:00","2024-04-25 00:00:00",RGPZ-378MW-0G,RGP,12600,2024-04-25 13:46:03.784
237010321,"2SE02894",1,"2024-03-31 00:00:00","2024-04-25 00:00:00",RGPZ-378MW-2G,RGP,7560,2024-04-25 13:46:03.784
268752358,"2SE02689",2,"2024-03-20 00:00:00","2024-04-25 00:00:00",RGPZ-404ML-0E,RGP,205552,2024-04-25 13:46:03.784
244880574,"2SE03146",1,"2024-04-25 00:00:00","2024-04-25 00:00:00",RGPZ-414MW-0C,RGP,70,2024-04-25 13:46:03.784
244880575,"2SE03147",1,"2024-04-25 00:00:00","2024-04-25 00:00:00",RGPZ-414MW-1C,RGP,70,2024-04-25 13:46:03.784
268874548,"2SE02319",2,"2024-03-08 00:00:00","2024-04-25 00:00:00",RGPZ-445ML-0D,RGP,5000,2024-04-25 13:46:03.784
235748453,"2SE00581",3,"2024-02-23 00:00:00","2024-04-25 00:00:00",RGPZ-481ML-5A,RGP,7493,2024-04-25 13:46:03.784
237102370,"2SE02902",3,"2024-03-27 00:00:00","2024-04-26 00:00:00",RGP-096L-0D,RGP,120000,2024-04-25 13:46:03.784
238206203,"2SE02854",4,"2024-03-29 00:00:00","2024-04-26 00:00:00",RGP-145S-0B,RGP,60480,2024-04-25 13:46:03.784
256687565,"2SE02855",4,"2024-03-29 00:00:00","2024-04-26 00:00:00",RGP-184S-0D,RGP,50220,2024-04-25 13:46:03.784
256739974,"2SE03414",4,"2024-04-30 00:00:00","2024-04-26 00:00:00",RGP-266L-0B,RGP,10130,2024-04-25 13:46:03.784
256739975,"2SE03414",5,"2024-04-30 00:00:00","2024-04-26 00:00:00",RGP-266L-0B,RGP,30000,2024-04-25 13:46:03.784
265036291,"2SE02856",6,"2024-03-29 00:00:00","2024-04-26 00:00:00",RGP-309S-0B,RGP,704160,2024-04-25 13:46:03.784
239465120,"2SE01897",11,"2024-03-01 00:00:00","2024-04-26 00:00:00",RGP-368L-0B,RGP,10000,2024-04-25 13:46:03.784
230438458,"2SE02729",1,"2024-04-26 00:00:00","2024-04-26 00:00:00",RGP-427L-0B,RGP,24922,2024-04-25 13:46:03.784
271371233,"2SE02266",13,"2024-04-11 00:00:00","2024-04-26 00:00:00",RGP-427L-0B,RGP,5078,2024-04-25 13:46:03.784
61736479,"2SD08241",1,"2023-12-11 00:00:00","2024-04-26 00:00:00",RGPZ-031MW-0C,RGP,7680,2024-04-25 13:46:03.784
130168648,"2SD08048",3,"2023-12-08 00:00:00","2024-04-26 00:00:00",RGPZ-031MW-0C,RGP,71275,2024-04-25 13:46:03.784
171247013,"2SE01300",1,"2024-02-06 00:00:00","2024-04-26 00:00:00",RGPZ-067MW-0F,RGP,78724,2024-04-25 13:46:03.784
218520342,"2SE02451",1,"2024-03-13 00:00:00","2024-04-26 00:00:00",RGPZ-067MW-0F,RGP,1162,2024-04-25 13:46:03.784
246460615,"2SE03270",1,"2024-04-03 00:00:00","2024-04-26 00:00:00",RGPZ-067MW-0F,RGP,4200,2024-04-25 13:46:03.784
182094707,"2SE01064",2,"2024-02-01 00:00:00","2024-04-26 00:00:00",RGPZ-067MW-0F,RGP,32978,2024-04-25 13:46:03.784
246139586,"2SE02867",6,"2024-03-31 00:00:00","2024-04-26 00:00:00",RGPZ-086MW-1E,RGP,10000,2024-04-25 13:46:03.784
256705444,"2SE03457",1,"2024-05-22 00:00:00","2024-04-26 00:00:00",RGPZ-098ML-1B,RGP,14604,2024-04-25 13:46:03.784
238112051,"2SE01637",2,"2024-03-06 00:00:00","2024-04-26 00:00:00",RGPZ-098ML-1B,RGP,1529,2024-04-25 13:46:03.784
246139597,"2SE02872",6,"2024-03-31 00:00:00","2024-04-26 00:00:00",RGPZ-127MW-1E,RGP,10000,2024-04-25 13:46:03.784
209518615,"2SE01548",12,"2024-02-20 00:00:00","2024-04-26 00:00:00",RGPZ-143MW-2E,RGP,6356,2024-04-25 13:46:03.784
255353210,"2SE02966",5,"2024-03-28 00:00:00","2024-04-26 00:00:00",RGPZ-146ML-0B,RGP,25000,2024-04-25 13:46:03.784
255362128,"2SE02968",5,"2024-03-28 00:00:00","2024-04-26 00:00:00",RGPZ-147ML-0B,RGP,9000,2024-04-25 13:46:03.784
265302786,"2SE03068",5,"2024-04-22 00:00:00","2024-04-26 00:00:00",RGPZ-228ML-1E,RGP,70000,2024-04-25 13:46:03.784
272507695,"2SE03068",6,"2024-04-22 00:00:00","2024-04-26 00:00:00",RGPZ-228ML-1E,RGP,10000,2024-04-25 13:46:03.784
255362133,"2SE02969",5,"2024-03-28 00:00:00","2024-04-26 00:00:00",RGPZ-299NL-0C,RGP,24000,2024-04-25 13:46:03.784
255289728,"2SE01688",4,"2024-02-23 00:00:00","2024-04-26 00:00:00",RGPZ-315ML-0D,RGP,167046,2024-04-25 13:46:03.784
266327252,"2SE02941",8,"2024-03-31 00:00:00","2024-04-26 00:00:00",RGPZ-345MW-0D,RGP,263680,2024-04-25 13:46:03.784
266336229,"2SE02942",8,"2024-03-31 00:00:00","2024-04-26 00:00:00",RGPZ-346MW-0D,RGP,264000,2024-04-25 13:46:03.784
265293406,"2SE02897",6,"2024-03-31 00:00:00","2024-04-26 00:00:00",RGPZ-381MW-1G,RGP,10080,2024-04-25 13:46:03.784
248744999,"2SE02950",2,"2024-03-31 00:00:00","2024-04-26 00:00:00",RGPZ-381MW-3G,RGP,30030,2024-04-25 13:46:03.784
256503889,"2SE03436",3,"2024-04-09 00:00:00","2024-04-26 00:00:00",RGPZ-394ML-0D,RGP,159000,2024-04-25 13:46:03.784
227840058,"2SE01907",2,"2024-02-28 00:00:00","2024-04-26 00:00:00",RGPZ-395ML-0D,RGP,215487,2024-04-25 13:46:03.784
173873516,"2SE01349",1,"2024-02-08 00:00:00","2024-04-26 00:00:00",RGPZ-403ML-0C,RGP,27300,2024-04-25 13:46:03.784
144170383,"2SD09763",3,"2023-12-21 00:00:00","2024-04-26 00:00:00",RGPZ-403ML-0C,RGP,173700,2024-04-25 13:46:03.784
219946908,"2SE02478",1,"2024-04-22 00:00:00","2024-04-26 00:00:00",RGPZ-445ML-1D,RGP,3732,2024-04-25 13:46:03.784
263730051,"2SE90781",1,"2024-04-18 00:00:00","2024-04-26 00:00:00",RGPZ-448ML-0C,RGP,3000,2024-04-25 13:46:03.784
234404672,"2SE02724",1,"2024-03-22 00:00:00","2024-04-26 00:00:00",RGPZ-448ML-0D,RGP,11750,2024-04-25 13:46:03.784
263676309,"2SE02710",2,"2024-03-22 00:00:00","2024-04-26 00:00:00",RGPZ-448ML-1D,RGP,3631,2024-04-25 13:46:03.784
217177343,"2SE02055",1,"2024-04-08 00:00:00","2024-04-26 00:00:00",RGPZ-454ML-1D,RGP,5087,2024-04-25 13:46:03.784
256739976,"2SE03414",6,"2024-04-30 00:00:00","2024-04-27 00:00:00",RGP-266L-0B,RGP,30000,2024-04-25 13:46:03.784
230524868,"2SE02729",2,"2024-04-26 00:00:00","2024-04-27 00:00:00",RGP-427L-0B,RGP,20000,2024-04-25 13:46:03.784
263997979,"2SE03445",3,"2024-04-12 00:00:00","2024-04-27 00:00:00",RGP-478W-2A,RGP,1068,2024-04-25 13:46:03.784
255246094,"2SE02851",3,"2024-03-29 00:00:00","2024-04-27 00:00:00",RGPZ-054ML-15B,RGP,60480,2024-04-25 13:46:03.784
256608737,"2SE02852",4,"2024-03-29 00:00:00","2024-04-27 00:00:00",RGPZ-126ML-0D,RGP,20736,2024-04-25 13:46:03.784
271336224,"2SE02853",7,"2024-03-29 00:00:00","2024-04-27 00:00:00",RGPZ-303ML-0F,RGP,46800,2024-04-25 13:46:03.784
265285044,"2SE90668",9,"2024-03-27 00:00:00","2024-04-27 00:00:00",RGPZ-303ML-0F,RGP,10800,2024-04-25 13:46:03.784
270234466,"2SE03848",1,"2024-04-23 00:00:00","2024-04-27 00:00:00",RGPZ-314ML-0C,RGP,8648,2024-04-25 13:46:03.784
270234467,"2SE03849",1,"2024-04-23 00:00:00","2024-04-27 00:00:00",RGPZ-314ML-0C,RGP,8400,2024-04-25 13:46:03.784
236862903,"2SE02808",2,"2024-03-25 00:00:00","2024-04-27 00:00:00",RGPZ-314ML-0C,RGP,24632,2024-04-25 13:46:03.784
266327177,"2SE02873",8,"2024-03-31 00:00:00","2024-04-27 00:00:00",RGPZ-345MW-0D,RGP,75520,2024-04-25 13:46:03.784
266327179,"2SE02874",8,"2024-03-31 00:00:00","2024-04-27 00:00:00",RGPZ-346MW-0D,RGP,75200,2024-04-25 13:46:03.784
270234464,"2SE03846",1,"2024-04-27 00:00:00","2024-04-27 00:00:00",RGPZ-419ML-10B,RGP,42318,2024-04-25 13:46:03.784
270234463,"2SE03845",1,"2024-04-27 00:00:00","2024-04-27 00:00:00",RGPZ-419ML-8B,RGP,7452,2024-04-25 13:46:03.784
239513404,"2SE02985",2,"2024-03-28 00:00:00","2024-04-29 00:00:00",RGP-145S-1B,RGP,50400,2024-04-25 13:46:03.784
263801866,"2SE03651",1,"2024-04-24 00:00:00","2024-04-29 00:00:00",RGP-266L-0B,RGP,735,2024-04-25 13:46:03.784
