"pfd_period_no","wk","qty_fc"
"202409",WK2423,91200
"202409",WK2426,246454
"202409",WK2427,203010
"202409",WK2428,178173
"202410",WK2410,404413
"202410",WK2411,250040
"202410",WK2412,176928
"202410",WK2413,221920
"202410",WK2414,181184
"202410",WK2415,199424
"202410",WK2416,72960
"202410",WK2417,165680
"202410",WK2418,154432
"202410",WK2419,143184
"202410",WK2420,73036
"202410",WK2421,22496
"202410",WK2422,0
"202410",WK2423,0
"202410",WK2424,0
"202410",WK2425,0
"202410",WK2426,219660
"202410",WK2427,205390
"202410",WK2428,166917
"202410",WK2429,154816
"202411",WK2411,404453
"202411",WK2412,182600
"202411",WK2413,221920
"202411",WK2414,181184
"202411",WK2415,199424
"202411",WK2416,72960
"202411",WK2417,165680
"202411",WK2418,154432
"202411",WK2419,143184
"202411",WK2420,73036
"202411",WK2421,22496
"202411",WK2422,0
"202411",WK2423,0
"202411",WK2424,0
"202411",WK2425,0
"202411",WK2426,219660
"202411",WK2427,205390
"202411",WK2428,166917
"202411",WK2429,154816
"202411",WK2430,121002
"202412",WK2412,337053
"202412",WK2413,221920
"202412",WK2414,181184
"202412",WK2415,199424
"202412",WK2416,72960
"202412",WK2417,165680
"202412",WK2418,154432
"202412",WK2419,143184
"202412",WK2420,73036
"202412",WK2421,22496
"202412",WK2422,0
"202412",WK2423,0
"202412",WK2424,0
"202412",WK2425,0
"202412",WK2426,217103
"202412",WK2427,205437
"202412",WK2428,166956
"202412",WK2429,154852
"202412",WK2430,121033
"202412",WK2431,121034
"202413",WK2413,558973
"202413",WK2414,181184
"202413",WK2415,199424
"202413",WK2416,72960
"202413",WK2417,165680
"202413",WK2418,154432
"202413",WK2419,143184
"202413",WK2420,73036
"202413",WK2421,22496
"202413",WK2422,0
"202413",WK2423,0
"202413",WK2424,0
"202413",WK2425,0
"202413",WK2426,217103
"202413",WK2427,205437
"202413",WK2428,166956
"202413",WK2429,154852
"202413",WK2430,121033
"202413",WK2431,121034
"202413",WK2432,121033
"202414",WK2414,425157
"202414",WK2415,199424
"202414",WK2416,72960
"202414",WK2417,165680
"202414",WK2418,154432
"202414",WK2419,143184
"202414",WK2420,73036
"202414",WK2421,22496
"202414",WK2422,0
"202414",WK2423,0
"202414",WK2424,0
"202414",WK2425,0
"202414",WK2426,193655
"202414",WK2427,181552
"202414",WK2428,145242
"202414",WK2429,133139
"202414",WK2430,121034
"202414",WK2431,121034
"202414",WK2432,119397
"202414",WK2433,121036
"202415",WK2415,504581
"202415",WK2416,206000
"202415",WK2417,186341
"202415",WK2418,156000
"202415",WK2419,248000
"202415",WK2420,439085
"202415",WK2421,209862
"202415",WK2422,172064
"202415",WK2423,194560
"202415",WK2424,194560
"202415",WK2425,196080
"202415",WK2426,140600
"202415",WK2427,140600
"202415",WK2428,140600
"202415",WK2429,140600
"202415",WK2430,112480
"202415",WK2431,112480
"202415",WK2432,112480
"202415",WK2433,95608
"202415",WK2434,95608
"202416",WK2416,348000
"202416",WK2417,308922
"202416",WK2418,156000
"202416",WK2419,248000
"202416",WK2420,439085
"202416",WK2421,209862
"202416",WK2422,172064
"202416",WK2423,194560
"202416",WK2424,194560
"202416",WK2425,196080
"202416",WK2426,140600
"202416",WK2427,140600
"202416",WK2428,140600
"202416",WK2429,140600
"202416",WK2430,112480
"202416",WK2431,112480
"202416",WK2432,112480
"202416",WK2433,95608
"202416",WK2434,95608
"202416",WK2435,95608
"202417",WK2417,656922
"202417",WK2418,156000
"202417",WK2419,248000
"202417",WK2420,439085
"202417",WK2421,209862
"202417",WK2422,172064
"202417",WK2423,194560
"202417",WK2424,194560
"202417",WK2425,196080
"202417",WK2426,140600
"202417",WK2427,140600
"202417",WK2428,140600
"202417",WK2429,140600
"202417",WK2430,112480
"202417",WK2431,112480
"202417",WK2432,112480
"202417",WK2433,95608
"202417",WK2434,95608
"202417",WK2435,95608
"202417",WK2436,95608
